query_toks_no_value,question,table name
"['select', 'count', '(', '*', ')', 'from', 'departments', 'as', 't1', 'join', 'degree_programs', 'as', 't2', 'on', 't1', '.', 'department_id', '=', 't2', '.', 'department_id', 'where', 't1', '.', 'department_name', '=', 'value']",How many degrees does the engineering department have?,"['departments', 'degree_programs']"
"['select', 'section_name', ',', 'section_description', 'from', 'sections']",What are the names and descriptions of all the sections?,['sections']
"['select', 'section_name', ',', 'section_description', 'from', 'sections']",What are the names and descriptions for all the sections?,['sections']
"['select', 't1', '.', 'course_name', ',', 't1', '.', 'course_id', 'from', 'courses', 'as', 't1', 'join', 'sections', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id', 'group', 'by', 't1', '.', 'course_id', 'having', 'count', '(', '*', ')', '<', '=', 'value']",What are the names and id of courses having at most 2 sections?,"['courses', 'sections']"
"['select', 't1', '.', 'course_name', ',', 't1', '.', 'course_id', 'from', 'courses', 'as', 't1', 'join', 'sections', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id', 'group', 'by', 't1', '.', 'course_id', 'having', 'count', '(', '*', ')', '<', '=', 'value']",What are the names and ids of every course with less than 2 sections?,"['courses', 'sections']"
"['select', 'section_name', 'from', 'sections', 'order', 'by', 'section_name', 'desc']",List the section_name in reversed lexicographical order.,['sections']
"['select', 'section_name', 'from', 'sections', 'order', 'by', 'section_name', 'desc']",What are the names of the sections in reverse alphabetical order?,['sections']
"['select', 't1', '.', 'semester_name', ',', 't1', '.', 'semester_id', 'from', 'semesters', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'semester_id', '=', 't2', '.', 'semester_id', 'group', 'by', 't1', '.', 'semester_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the semester which most student registered in? Show both the name and the id.,"['semesters', 'student_enrolment']"
"['select', 't1', '.', 'semester_name', ',', 't1', '.', 'semester_id', 'from', 'semesters', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'semester_id', '=', 't2', '.', 'semester_id', 'group', 'by', 't1', '.', 'semester_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","For each semester, what is the name and id of the one with the most students registered?","['semesters', 'student_enrolment']"
"['select', 'department_description', 'from', 'departments', 'where', 'department_name', 'like', 'value']",What is the description of the department whose name has the substring the computer?,['departments']
"['select', 'department_description', 'from', 'departments', 'where', 'department_name', 'like', 'value']",What is the department description for the one whose name has the word computer?,['departments']
"['select', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', ',', 't1', '.', 'student_id', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'group', 'by', 't1', '.', 'student_id', 'having', 'count', '(', '*', ')', '=', 'value']","Who are enrolled in 2 degree programs in one semester? List the first name, middle name and last name and the id.","['students', 'student_enrolment']"
"['select', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', ',', 't1', '.', 'student_id', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'group', 'by', 't1', '.', 'student_id', 'having', 'count', '(', '*', ')', '=', 'value']","What are the first, middle, and last names, along with the ids, of all students who enrolled in 2 degree programs in one semester?","['students', 'student_enrolment']"
"['select', 'distinct', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'join', 'degree_programs', 'as', 't3', 'on', 't2', '.', 'degree_program_id', '=', 't3', '.', 'degree_program_id', 'where', 't3', '.', 'degree_summary_name', '=', 'value']","Who is enrolled in a Bachelor degree program? List the first name, middle name, last name.","['students', 'student_enrolment', 'degree_programs']"
"['select', 'distinct', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'join', 'degree_programs', 'as', 't3', 'on', 't2', '.', 'degree_program_id', '=', 't3', '.', 'degree_program_id', 'where', 't3', '.', 'degree_summary_name', '=', 'value']","What are the first, middle, and last names for everybody enrolled in a Bachelors program?","['students', 'student_enrolment', 'degree_programs']"
"['select', 't1', '.', 'degree_summary_name', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'group', 'by', 't1', '.', 'degree_summary_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Find the kind of program which most number of students are enrolled in?,"['degree_programs', 'student_enrolment']"
"['select', 't1', '.', 'degree_summary_name', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'group', 'by', 't1', '.', 'degree_summary_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the degree summary name that has the most number of students enrolled?,"['degree_programs', 'student_enrolment']"
"['select', 't1', '.', 'degree_program_id', ',', 't1', '.', 'degree_summary_name', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'group', 'by', 't1', '.', 'degree_program_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Find the program which most number of students are enrolled in. List both the id and the summary.,"['degree_programs', 'student_enrolment']"
"['select', 't1', '.', 'degree_program_id', ',', 't1', '.', 'degree_summary_name', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'group', 'by', 't1', '.', 'degree_program_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the program id and the summary of the degree that has the most students enrolled?,"['degree_programs', 'student_enrolment']"
"['select', 't1', '.', 'student_id', ',', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', ',', 'count', '(', '*', ')', ',', 't1', '.', 'student_id', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'group', 'by', 't1', '.', 'student_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","Which student has enrolled for the most times in any program? List the id, first name, middle name, last name, the number of enrollments and student id.","['students', 'student_enrolment']"
"['select', 't1', '.', 'student_id', ',', 't1', '.', 'first_name', ',', 't1', '.', 'middle_name', ',', 't1', '.', 'last_name', ',', 'count', '(', '*', ')', ',', 't1', '.', 'student_id', 'from', 'students', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'student_id', '=', 't2', '.', 'student_id', 'group', 'by', 't1', '.', 'student_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","What is the first, middle, and last name, along with the id and number of enrollments, for the student who enrolled the most in any program?","['students', 'student_enrolment']"
"['select', 'semester_name', 'from', 'semesters', 'where', 'semester_id', 'not', 'in', '(', 'select', 'semester_id', 'from', 'student_enrolment', ')']",Which semesters do not have any student enrolled? List the semester name.,"['semesters', 'student_enrolment']"
"['select', 'semester_name', 'from', 'semesters', 'where', 'semester_id', 'not', 'in', '(', 'select', 'semester_id', 'from', 'student_enrolment', ')']",What is the name of the semester with no students enrolled?,"['semesters', 'student_enrolment']"
"['select', 'distinct', 't1', '.', 'course_name', 'from', 'courses', 'as', 't1', 'join', 'student_enrolment_courses', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id']",What are all the course names of the courses which ever have students enrolled in?,"['courses', 'student_enrolment_courses']"
"['select', 'distinct', 't1', '.', 'course_name', 'from', 'courses', 'as', 't1', 'join', 'student_enrolment_courses', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id']",What are the names of all courses that have some students enrolled?,"['courses', 'student_enrolment_courses']"
"['select', 't1', '.', 'course_name', 'from', 'courses', 'as', 't1', 'join', 'student_enrolment_courses', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id', 'group', 'by', 't1', '.', 'course_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What's the name of the course with most number of enrollments?,"['courses', 'student_enrolment_courses']"
"['select', 't1', '.', 'course_name', 'from', 'courses', 'as', 't1', 'join', 'student_enrolment_courses', 'as', 't2', 'on', 't1', '.', 'course_id', '=', 't2', '.', 'course_id', 'group', 'by', 't1', '.', 'course_name', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the name of the course with the most students enrolled?,"['courses', 'student_enrolment_courses']"
"['select', 't1', '.', 'last_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'current_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'state_province_county', '=', 'value', 'except', 'select', 'distinct', 't3', '.', 'last_name', 'from', 'students', 'as', 't3', 'join', 'student_enrolment', 'as', 't4', 'on', 't3', '.', 'student_id', '=', 't4', '.', 'student_id']",Find the last name of the students who currently live in the state of North Carolina but have not registered in any degree program.,"['students', 'addresses', 'students', 'student_enrolment']"
"['select', 't1', '.', 'last_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'current_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'state_province_county', '=', 'value', 'except', 'select', 'distinct', 't3', '.', 'last_name', 'from', 'students', 'as', 't3', 'join', 'student_enrolment', 'as', 't4', 'on', 't3', '.', 'student_id', '=', 't4', '.', 'student_id']",What are the last name of the students who live in North Carolina but have not registered in any degree programs?,"['students', 'addresses', 'students', 'student_enrolment']"
"['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'having', 'count', '(', '*', ')', '>', '=', 'value']",Show the date and id of the transcript with at least 2 course results.,"['transcript_contents', 'transcripts']"
"['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'having', 'count', '(', '*', ')', '>', '=', 'value']",What is the date and id of the transcript with at least 2 courses listed?,"['transcript_contents', 'transcripts']"
"['select', 'cell_mobile_number', 'from', 'students', 'where', 'first_name', '=', 'value', 'and', 'last_name', '=', 'value']",What is the phone number of the man with the first name Timmothy and the last name Ward?,['students']
"['select', 'cell_mobile_number', 'from', 'students', 'where', 'first_name', '=', 'value', 'and', 'last_name', '=', 'value']",What is the mobile phone number of the student named Timmothy Ward ?,['students']
"['select', 'first_name', ',', 'middle_name', ',', 'last_name', 'from', 'students', 'order', 'by', 'date_first_registered', 'asc', 'limit', 'value']","Who is the first student to register? List the first name, middle name and last name.",['students']
"['select', 'first_name', ',', 'middle_name', ',', 'last_name', 'from', 'students', 'order', 'by', 'date_first_registered', 'asc', 'limit', 'value']","What is the first, middle, and last name of the first student to register?",['students']
"['select', 'first_name', ',', 'middle_name', ',', 'last_name', 'from', 'students', 'order', 'by', 'date_left', 'asc', 'limit', 'value']","Who is the earliest graduate of the school? List the first name, middle name and last name.",['students']
"['select', 'first_name', ',', 'middle_name', ',', 'last_name', 'from', 'students', 'order', 'by', 'date_left', 'asc', 'limit', 'value']","What is the first, middle, and last name of the earliest school graduate?",['students']
"['select', 'first_name', 'from', 'students', 'where', 'current_address_id', '!', '=', 'permanent_address_id']",Whose permanent address is different from his or her current address? List his or her first name.,['students']
"['select', 'first_name', 'from', 'students', 'where', 'current_address_id', '!', '=', 'permanent_address_id']",What is the first name of the student whose permanent address is different from his or her current one?,['students']
"['select', 't1', '.', 'address_id', ',', 't1', '.', 'line_1', ',', 't1', '.', 'line_2', 'from', 'addresses', 'as', 't1', 'join', 'students', 'as', 't2', 'on', 't1', '.', 'address_id', '=', 't2', '.', 'current_address_id', 'group', 'by', 't1', '.', 'address_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which address holds the most number of students currently? List the address id and all lines.,"['addresses', 'students']"
"['select', 't1', '.', 'address_id', ',', 't1', '.', 'line_1', ',', 't1', '.', 'line_2', 'from', 'addresses', 'as', 't1', 'join', 'students', 'as', 't2', 'on', 't1', '.', 'address_id', '=', 't2', '.', 'current_address_id', 'group', 'by', 't1', '.', 'address_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","What is the id, line 1, and line 2 of the address with the most students?","['addresses', 'students']"
"['select', 'avg', '(', 'transcript_date', ')', 'from', 'transcripts']","On average, when were the transcripts printed?",['transcripts']
"['select', 'avg', '(', 'transcript_date', ')', 'from', 'transcripts']",What is the average transcript date?,['transcripts']
"['select', 'transcript_date', ',', 'other_details', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'asc', 'limit', 'value']",When is the first transcript released? List the date and details.,['transcripts']
"['select', 'transcript_date', ',', 'other_details', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'asc', 'limit', 'value']","What is the earliest date of a transcript release, and what details can you tell me?",['transcripts']
"['select', 'count', '(', '*', ')', 'from', 'transcripts']",How many transcripts are released?,['transcripts']
"['select', 'count', '(', '*', ')', 'from', 'transcripts']",How many transcripts are listed?,['transcripts']
"['select', 'transcript_date', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'desc', 'limit', 'value']",What is the last transcript release date?,['transcripts']
"['select', 'transcript_date', 'from', 'transcripts', 'order', 'by', 'transcript_date', 'desc', 'limit', 'value']",When was the last transcript released?,['transcripts']
"['select', 'count', '(', '*', ')', ',', 'student_course_id', 'from', 'transcript_contents', 'group', 'by', 'student_course_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,['transcript_contents']
"['select', 'count', '(', '*', ')', ',', 'student_course_id', 'from', 'transcript_contents', 'group', 'by', 'student_course_id', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the maximum number of times that a course shows up in different transcripts and what is that course's enrollment id?,['transcript_contents']
"['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']","Show the date of the transcript which shows the least number of results, also list the id.","['transcript_contents', 'transcripts']"
"['select', 't2', '.', 'transcript_date', ',', 't1', '.', 'transcript_id', 'from', 'transcript_contents', 'as', 't1', 'join', 'transcripts', 'as', 't2', 'on', 't1', '.', 'transcript_id', '=', 't2', '.', 'transcript_id', 'group', 'by', 't1', '.', 'transcript_id', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']",What is the date and id of the transcript with the least number of results?,"['transcript_contents', 'transcripts']"
"['select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value', 'intersect', 'select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value']",Find the semester when both Master students and Bachelor students got enrolled in.,"['degree_programs', 'student_enrolment', 'degree_programs', 'student_enrolment']"
"['select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value', 'intersect', 'select', 'distinct', 't2', '.', 'semester_id', 'from', 'degree_programs', 'as', 't1', 'join', 'student_enrolment', 'as', 't2', 'on', 't1', '.', 'degree_program_id', '=', 't2', '.', 'degree_program_id', 'where', 'degree_summary_name', '=', 'value']",What is the id of the semester that had both Masters and Bachelors students enrolled?,"['degree_programs', 'student_enrolment', 'degree_programs', 'student_enrolment']"
"['select', 'count', '(', 'distinct', 'current_address_id', ')', 'from', 'students']",How many different addresses do the students currently live?,['students']
"['select', 'count', '(', 'distinct', 'current_address_id', ')', 'from', 'students']",What are the different addresses that have students living there?,['students']
"['select', 'other_student_details', 'from', 'students', 'order', 'by', 'other_student_details', 'desc']",List all the student details in reversed lexicographical order.,['students']
"['select', 'other_student_details', 'from', 'students', 'order', 'by', 'other_student_details', 'desc']",What other details can you tell me about students in reverse alphabetical order?,['students']
"['select', 'section_description', 'from', 'sections', 'where', 'section_name', '=', 'value']",Describe the section h.,['sections']
"['select', 'section_description', 'from', 'sections', 'where', 'section_name', '=', 'value']",What is the description for the section named h?,['sections']
"['select', 't1', '.', 'first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'permanent_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'country', '=', 'value', 'or', 't1', '.', 'cell_mobile_number', '=', 'value']",Find the first name of the students who permanently live in the country Haiti or have the cell phone number 09700166582 .,"['students', 'addresses']"
"['select', 't1', '.', 'first_name', 'from', 'students', 'as', 't1', 'join', 'addresses', 'as', 't2', 'on', 't1', '.', 'permanent_address_id', '=', 't2', '.', 'address_id', 'where', 't2', '.', 'country', '=', 'value', 'or', 't1', '.', 'cell_mobile_number', '=', 'value']",What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,"['students', 'addresses']"
"['select', 'title', 'from', 'cartoon', 'order', 'by', 'title']",List the title of all cartoons in alphabetical order.,['cartoon']
"['select', 'title', 'from', 'cartoon', 'order', 'by', 'title']",What are the titles of the cartoons sorted alphabetically?,['cartoon']
"['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value']","List all cartoon directed by ""Ben Jones"".",['cartoon']
"['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value']",What are the names of all cartoons directed by Ben Jones?,['cartoon']
"['select', 'count', '(', '*', ')', 'from', 'cartoon', 'where', 'written_by', '=', 'value']","How many cartoons were written by ""Joseph Kuhr""?",['cartoon']
"['select', 'count', '(', '*', ')', 'from', 'cartoon', 'where', 'written_by', '=', 'value']",What is the number of cartoones written by Joseph Kuhr?,['cartoon']
"['select', 'title', ',', 'directed_by', 'from', 'cartoon', 'order', 'by', 'original_air_date']",list all cartoon titles and their directors ordered by their air date,['cartoon']
"['select', 'title', ',', 'directed_by', 'from', 'cartoon', 'order', 'by', 'original_air_date']",What is the name and directors of all the cartoons that are ordered by air date?,['cartoon']
"['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value', 'or', 'directed_by', '=', 'value']","List the title of all cartoon directed by ""Ben Jones"" or ""Brandon Vietti"".",['cartoon']
"['select', 'title', 'from', 'cartoon', 'where', 'directed_by', '=', 'value', 'or', 'directed_by', '=', 'value']",What are the titles of all cartoons directed by Ben Jones or Brandon Vietti?,['cartoon']
"['select', 'country', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'country', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",Which country has the most of TV Channels? List the country and number of TV Channels it has.,['tv_channel']
"['select', 'country', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'country', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']",What is the country with the most number of TV Channels and how many does it have?,['tv_channel']
"['select', 'count', '(', 'distinct', 'series_name', ')', ',', 'count', '(', 'distinct', 'content', ')', 'from', 'tv_channel']",List the number of different series names and contents in the TV Channel table.,['tv_channel']
"['select', 'count', '(', 'distinct', 'series_name', ')', ',', 'count', '(', 'distinct', 'content', ')', 'from', 'tv_channel']",How many different series and contents are listed in the TV Channel table?,['tv_channel']
"['select', 'content', 'from', 'tv_channel', 'where', 'series_name', '=', 'value']","What is the content of TV Channel with serial name ""Sky Radio""?",['tv_channel']
"['select', 'content', 'from', 'tv_channel', 'where', 'series_name', '=', 'value']",What is the content of the series Sky Radio?,['tv_channel']
"['select', 'package_option', 'from', 'tv_channel', 'where', 'series_name', '=', 'value']","What is the Package Option of TV Channel with serial name ""Sky Radio""?",['tv_channel']
"['select', 'package_option', 'from', 'tv_channel', 'where', 'series_name', '=', 'value']",What are the Package Options of the TV Channels whose series names are Sky Radio?,['tv_channel']
"['select', 'count', '(', '*', ')', 'from', 'tv_channel', 'where', 'language', '=', 'value']",How many TV Channel using language English?,['tv_channel']
"['select', 'count', '(', '*', ')', 'from', 'tv_channel', 'where', 'language', '=', 'value']",How many TV Channels use the English language?,['tv_channel']
"['select', 'language', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'language', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']",List the language used least number of TV Channel. List language and number of TV Channel.,['tv_channel']
"['select', 'language', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'language', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']",What are the languages used by the least number of TV Channels and how many channels use it?,['tv_channel']
"['select', 'language', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'language']",List each language and the number of TV Channels using it.,['tv_channel']
"['select', 'language', ',', 'count', '(', '*', ')', 'from', 'tv_channel', 'group', 'by', 'language']","For each language, list the number of TV Channels that use it.",['tv_channel']
"['select', 't1', '.', 'series_name', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'title', '=', 'value']","What is the TV Channel that shows the cartoon ""The Rise of the Blue Beetle!""? List the TV Channel's series name.","['tv_channel', 'cartoon']"
"['select', 't1', '.', 'series_name', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'title', '=', 'value']","What is the series name of the TV Channel that shows the cartoon ""The Rise of the Blue Beetle""?","['tv_channel', 'cartoon']"
"['select', 't2', '.', 'title', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't1', '.', 'series_name', '=', 'value']","List the title of all  Cartoons showed on TV Channel with series name ""Sky Radio"".","['tv_channel', 'cartoon']"
"['select', 't2', '.', 'title', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't1', '.', 'series_name', '=', 'value']","What is the title of all the cartools that are on the TV Channel with the series name ""Sky Radio""?","['tv_channel', 'cartoon']"
"['select', 'episode', 'from', 'tv_series', 'order', 'by', 'rating']",List the Episode of all TV series sorted by rating.,['tv_series']
"['select', 'episode', 'from', 'tv_series', 'order', 'by', 'rating']",What are all of the episodes ordered by ratings?,['tv_series']
"['select', 'episode', ',', 'rating', 'from', 'tv_series', 'order', 'by', 'rating', 'desc', 'limit', 'value']",List top 3 highest Rating  TV series. List the TV series's Episode and Rating.,['tv_series']
"['select', 'episode', ',', 'rating', 'from', 'tv_series', 'order', 'by', 'rating', 'desc', 'limit', 'value']",What are 3 most highly rated episodes in the TV series table and what were those ratings?,['tv_series']
"['select', 'max', '(', 'share', ')', ',', 'min', '(', 'share', ')', 'from', 'tv_series']",What is minimum and maximum share of TV series?,['tv_series']
"['select', 'max', '(', 'share', ')', ',', 'min', '(', 'share', ')', 'from', 'tv_series']",What is the maximum and minimum share for the TV series?,['tv_series']
"['select', 'air_date', 'from', 'tv_series', 'where', 'episode', '=', 'value']","What is the air date of TV series with Episode ""A Love of a Lifetime""?",['tv_series']
"['select', 'air_date', 'from', 'tv_series', 'where', 'episode', '=', 'value']","When did the episode ""A Love of a Lifetime"" air?",['tv_series']
"['select', 'weekly_rank', 'from', 'tv_series', 'where', 'episode', '=', 'value']","What is Weekly Rank of TV series with Episode ""A Love of a Lifetime""?",['tv_series']
"['select', 'weekly_rank', 'from', 'tv_series', 'where', 'episode', '=', 'value']","What is the weekly rank for the episode ""A Love of a Lifetime""?",['tv_series']
"['select', 't1', '.', 'series_name', 'from', 'tv_channel', 'as', 't1', 'join', 'tv_series', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'episode', '=', 'value']","What is the TV Channel of TV series with Episode ""A Love of a Lifetime""? List the TV Channel's series name.","['tv_channel', 'tv_series']"
"['select', 't1', '.', 'series_name', 'from', 'tv_channel', 'as', 't1', 'join', 'tv_series', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'episode', '=', 'value']","What is the name of the series that has the episode ""A Love of a Lifetime""?","['tv_channel', 'tv_series']"
"['select', 't2', '.', 'episode', 'from', 'tv_channel', 'as', 't1', 'join', 'tv_series', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't1', '.', 'series_name', '=', 'value']","List the Episode of all  TV series showed on TV Channel with series name ""Sky Radio"".","['tv_channel', 'tv_series']"
"['select', 't2', '.', 'episode', 'from', 'tv_channel', 'as', 't1', 'join', 'tv_series', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't1', '.', 'series_name', '=', 'value']","What is the episode for the TV series named ""Sky Radio""?","['tv_channel', 'tv_series']"
"['select', 'count', '(', '*', ')', ',', 'directed_by', 'from', 'cartoon', 'group', 'by', 'directed_by']",Find the number of cartoons directed by each of the listed directors.,['cartoon']
"['select', 'count', '(', '*', ')', ',', 'directed_by', 'from', 'cartoon', 'group', 'by', 'directed_by']",How many cartoons did each director create?,['cartoon']
"['select', 'production_code', ',', 'channel', 'from', 'cartoon', 'order', 'by', 'original_air_date', 'desc', 'limit', 'value']",Find the production code and channel of the most recently aired cartoon .,['cartoon']
"['select', 'production_code', ',', 'channel', 'from', 'cartoon', 'order', 'by', 'original_air_date', 'desc', 'limit', 'value']",What is the produdction code and channel of the most recent cartoon ?,['cartoon']
"['select', 'package_option', ',', 'series_name', 'from', 'tv_channel', 'where', 'hight_definition_tv', '=', 'value']",Find the package choice and series name of the TV channel that has high definition TV.,['tv_channel']
"['select', 'package_option', ',', 'series_name', 'from', 'tv_channel', 'where', 'hight_definition_tv', '=', 'value']",What are the package options and the name of the series for the TV Channel that supports high definition TV?,['tv_channel']
"['select', 't1', '.', 'country', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'written_by', '=', 'value']",which countries' tv channels are playing some cartoon written by Todd Casey?,"['tv_channel', 'cartoon']"
"['select', 't1', '.', 'country', 'from', 'tv_channel', 'as', 't1', 'join', 'cartoon', 'as', 't2', 'on', 't1', '.', 'id', '=', 't2', '.', 'channel', 'where', 't2', '.', 'written_by', '=', 'value']",What are the countries that have cartoons on TV that were written by Todd Casey?,"['tv_channel', 'cartoon']"
